"slot_id","category","target_market","competitor_role","candidate_or_search_seed","composition_gate","size_unit_gate","required_capture","priority","status","note"
"EXP-026","Шерстяные/мериносовые носки","PL","local functional","Brubeck","merino / wool с раскрытым процентом; одна пара, не multipack без пересчёта","цена за пару; размерный диапазон","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-027","Шерстяные/мериносовые носки","PL","local lifestyle","польский merino sock DTC","merino / wool с раскрытым процентом; одна пара, не multipack без пересчёта","цена за пару; размерный диапазон","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-028","Шерстяные/мериносовые носки","SE","functional heritage","Woolpower — новая модель","merino / wool с раскрытым процентом; одна пара, не multipack без пересчёта","цена за пару; размерный диапазон","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-029","Шерстяные/мериносовые носки","SE","outdoor","Fjällräven / официальный SE merino sock PDP","merino / wool с раскрытым процентом; одна пара, не multipack без пересчёта","цена за пару; размерный диапазон","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P2","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-030","Шерстяные/мериносовые носки","DK","functional DTC","Danish Endurance","merino / wool с раскрытым процентом; одна пара, не multipack без пересчёта","цена за пару; размерный диапазон","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P2","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-031","Шерстяные/мериносовые носки","FI","outdoor","финский merino sock specialist","merino / wool с раскрытым процентом; одна пара, не multipack без пересчёта","цена за пару; размерный диапазон","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P2","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-032","Шерстяные/мериносовые носки","DE","accessible premium","FALKE DE — модель другого уровня","merino / wool с раскрытым процентом; одна пара, не multipack без пересчёта","цена за пару; размерный диапазон","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P2","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-033","Шерстяные/мериносовые носки","EU","outdoor anchor","Devold / Aclima, новая конструкция","merino / wool с раскрытым процентом; одна пара, не multipack без пересчёта","цена за пару; размерный диапазон","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P2","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-034","Пледы из яка","DE","technical specialist","Ritter Decken Himalaya — дополнительный размер / модель","отдельно 100% yak, yak blend и состав unknown; без доли не включать в material percentile","размер и вес обязательны; цена за м² и 100 г при наличии","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-035","Пледы из яка","DE","material specialist","поиск: 100% Yakdecke site:.de официальный DTC","отдельно 100% yak, yak blend и состав unknown; без доли не включать в material percentile","размер и вес обязательны; цена за м² и 100 г при наличии","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-036","Пледы из яка","DE","material specialist","поиск: Yak Plaid site:.de с раскрытым процентом","отдельно 100% yak, yak blend и состав unknown; без доли не включать в material percentile","размер и вес обязательны; цена за м² и 100 г при наличии","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-037","Пледы из яка","DE","accessible premium","официальная PDP yak blend; хранить отдельно от 100% yak","отдельно 100% yak, yak blend и состав unknown; без доли не включать в material percentile","размер и вес обязательны; цена за м² и 100 г при наличии","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-038","Пледы из яка","NL","material specialist","поиск: yak blanket / plaid официальный NL DTC","отдельно 100% yak, yak blend и состав unknown; без доли не включать в material percentile","размер и вес обязательны; цена за м² и 100 г при наличии","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-039","Пледы из яка","NL","design premium","поиск: yak throw NL с размером и весом","отдельно 100% yak, yak blend и состав unknown; без доли не включать в material percentile","размер и вес обязательны; цена за м² и 100 г при наличии","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-040","Пледы из яка","NL","accessible premium","поиск: yak blend blanket NL; доля обязательна","отдельно 100% yak, yak blend и состав unknown; без доли не включать в material percentile","размер и вес обязательны; цена за м² и 100 г при наличии","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P2","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-041","Пледы из яка","PL","origin retailer","Erdenet Home / Mongolian.pl — другая модель, не дубль","отдельно 100% yak, yak blend и состав unknown; без доли не включать в material percentile","размер и вес обязательны; цена за м² и 100 г при наличии","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P2","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-042","Пледы из яка","PL","local premium","поиск: koc z jaka официальный PL DTC","отдельно 100% yak, yak blend и состав unknown; без доли не включать в material percentile","размер и вес обязательны; цена за м² и 100 г при наличии","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P2","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-043","Пледы из яка","SE","Nordic design","поиск: yakpläd официальный SE DTC","отдельно 100% yak, yak blend и состав unknown; без доли не включать в material percentile","размер и вес обязательны; цена за м² и 100 г при наличии","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P2","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-044","Пледы из яка","SE","premium / origin","поиск: yak throw SE; только раскрытый состав","отдельно 100% yak, yak blend и состав unknown; без доли не включать в material percentile","размер и вес обязательны; цена за м² и 100 г при наличии","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P2","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-045","Прочие шерстяные пледы","DE","home specialist","Ritter Decken wool — не yak","new wool / merino / lambswool отдельными подгруппами; процент обязателен","размер и по возможности вес; цена за м²","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-046","Прочие шерстяные пледы","DE","accessible premium","Lodenwalker wool blanket","new wool / merino / lambswool отдельными подгруппами; процент обязателен","размер и по возможности вес; цена за м²","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-047","Прочие шерстяные пледы","DE","design retail","Urbanara / официальный DE home-textile PDP","new wool / merino / lambswool отдельными подгруппами; процент обязателен","размер и по возможности вес; цена за м²","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-048","Прочие шерстяные пледы","NL","design retail","HAY NL / официальный NL wool blanket PDP","new wool / merino / lambswool отдельными подгруппами; процент обязателен","размер и по возможности вес; цена за м²","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-049","Прочие шерстяные пледы","NL","home specialist","NL wool-blanket DTC","new wool / merino / lambswool отдельными подгруппами; процент обязателен","размер и по возможности вес; цена за м²","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-050","Прочие шерстяные пледы","NL","accessible premium","официальная NL PDP lambswool / merino throw","new wool / merino / lambswool отдельными подгруппами; процент обязателен","размер и по возможности вес; цена за м²","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-051","Прочие шерстяные пледы","PL","local home","HOP Design — новая модель, не дубль","new wool / merino / lambswool отдельными подгруппами; процент обязателен","размер и по возможности вес; цена за м²","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P2","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-052","Прочие шерстяные пледы","PL","local wool specialist","официальный PL wool blanket PDP","new wool / merino / lambswool отдельными подгруппами; процент обязателен","размер и по возможности вес; цена за м²","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P2","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-053","Прочие шерстяные пледы","SE","Nordic heritage","Klippan — новая модель, не дубль","new wool / merino / lambswool отдельными подгруппами; процент обязателен","размер и по возможности вес; цена за м²","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P2","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-054","Прочие шерстяные пледы","SE","Nordic design","Norrgavel — новая модель, не дубль","new wool / merino / lambswool отдельными подгруппами; процент обязателен","размер и по возможности вес; цена за м²","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P2","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-055","Прочие шерстяные пледы","EU","heritage premium","Johnstons / Røros Tweed wool blanket","new wool / merino / lambswool отдельными подгруппами; процент обязателен","размер и по возможности вес; цена за м²","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P2","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-056","Шали/палантины","DE","specialist","PURSCHOEN wide scarf / stole","cashmere / wool / blend отдельно; доля волокна обязательна","размер обязателен; tag compact shawl или large stole","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-057","Шали/палантины","DE","multi-market premium","Falconeri — новая модель, не дубль","cashmere / wool / blend отдельно; доля волокна обязательна","размер обязателен; tag compact shawl или large stole","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-058","Шали/палантины","NL","premium specialist","REPEAT cashmere stole","cashmere / wool / blend отдельно; доля волокна обязательна","размер обязателен; tag compact shawl или large stole","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-059","Шали/палантины","NL","accessible premium","Joe Merino / NL merino stole","cashmere / wool / blend отдельно; доля волокна обязательна","размер обязателен; tag compact shawl или large stole","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-060","Шали/палантины","NL","design premium","официальная NL PDP large stole","cashmere / wool / blend отдельно; доля волокна обязательна","размер обязателен; tag compact shawl или large stole","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-061","Шали/палантины","PL","local premium","Wólczanka stole","cashmere / wool / blend отдельно; доля волокна обязательна","размер обязателен; tag compact shawl или large stole","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-062","Шали/палантины","PL","local fashion","польский официальный DTC large shawl","cashmere / wool / blend отдельно; доля волокна обязательна","размер обязателен; tag compact shawl или large stole","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P2","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-063","Шали/палантины","SE","Nordic premium","Soft Goat stole","cashmere / wool / blend отдельно; доля волокна обязательна","размер обязателен; tag compact shawl или large stole","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P2","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-064","Шали/палантины","SE","Nordic premium","Davida Cashmere stole","cashmere / wool / blend отдельно; доля волокна обязательна","размер обязателен; tag compact shawl или large stole","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P2","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-065","Шали/палантины","BE","multi-market premium","официальная BE-локаль premium stole","cashmere / wool / blend отдельно; доля волокна обязательна","размер обязателен; tag compact shawl или large stole","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P2","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-066","Шали/палантины","EU","heritage luxury anchor","Johnstons of Elgin — отдельный anchor","cashmere / wool / blend отдельно; доля волокна обязательна","размер обязателен; tag compact shawl или large stole","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P2","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-067","Перчатки","NL","functional DTC","DILLING mittens / gloves — новая модель","knit wool / cashmere / leather with wool lining разнести по типам","цена за пару; размерная сетка и lining обязательны","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-068","Перчатки","NL","heritage premium","Hestra NL","knit wool / cashmere / leather with wool lining разнести по типам","цена за пару; размерная сетка и lining обязательны","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-069","Перчатки","NL","accessible premium","официальная NL merino glove PDP","knit wool / cashmere / leather with wool lining разнести по типам","цена за пару; размерная сетка и lining обязательны","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-070","Перчатки","PL","local premium","Wólczanka gloves","knit wool / cashmere / leather with wool lining разнести по типам","цена за пару; размерная сетка и lining обязательны","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-071","Перчатки","PL","local fashion","официальная PL wool / cashmere glove PDP","knit wool / cashmere / leather with wool lining разнести по типам","цена за пару; размерная сетка и lining обязательны","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-072","Перчатки","SE","heritage functional","Hestra SE — отдельная конструкция","knit wool / cashmere / leather with wool lining разнести по типам","цена за пару; размерная сетка и lining обязательны","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-073","Перчатки","SE","Nordic premium","Soft Goat cashmere gloves","knit wool / cashmere / leather with wool lining разнести по типам","цена за пару; размерная сетка и lining обязательны","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P2","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-074","Перчатки","DK","heritage premium","Dents / датский или EU official local PDP","knit wool / cashmere / leather with wool lining разнести по типам","цена за пару; размерная сетка и lining обязательны","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P2","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-075","Перчатки","FI","functional outdoor","финский merino glove specialist","knit wool / cashmere / leather with wool lining разнести по типам","цена за пару; размерная сетка и lining обязательны","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P2","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
