"id","category","brand","product_name","market","currency","current_price","regular_price","price_tier","composition","source_type","url","checked_at","reference_value","availability","limitations"
"CP-016","Шерстяные/мериносовые носки","FALKE","Softmerino Women's Socks","DE","EUR",19,"","бюджетный","57% virgin wool, 23% cotton, 18% polyamide, 2% elastane","официальный сайт бренда","https://www.falke.com/de_de/p/softmerino-damen-socken/47488_3009/","2026-09-15","Сильный массово-премиальный ориентир одиночной пары с шерстью снаружи и хлопком внутри.","Наличие зависит от размера и цвета.","Меринос не является единственным материалом; посадка и конструкция отличаются от outdoor-носков."
"CP-017","Шерстяные/мериносовые носки","Devold","Hiking Merino Liner Sock","DE","EUR",20,"","бюджетный","62% merino wool, 36% polyamide, 2% elastane","официальный сайт бренда","https://www.devold.com/en-de/product/hiking-merino-liner-sock-sc563063a/","2026-09-15","Тонкий функциональный liner с высокой долей мериноса; ориентир для технического обещания по минимальной цене.","Наличие отдельно не проверялось.","Это подносок/liner, а не универсальная повседневная модель."
"CP-018","Шерстяные/мериносовые носки","Devold","Daily Merino Light Sock, 3 Pack","DE","EUR",25,"","средний","50% merino wool, 27% polyamide, 21% polyester, 2% elastane","официальный сайт бренда","https://www.devold.com/en-de/product/daily-merino-light-sock-3-pack-sc592063b/","2026-09-15","Показывает сильную пакетную экономику: три пары повседневных носков по цене одной премиальной пары.","Наличие отдельно не проверялось.","Цена за упаковку из 3 пар; требуется нормализация по паре."
"CP-019","Шерстяные/мериносовые носки","Devold","Daily Merino Medium Sock, 3 Pack","DE","EUR",30,"","средний","51% merino wool, 25% polyamide, 22% polyester, 2% elastane","официальный сайт бренда","https://www.devold.com/en-de/product/daily-merino-medium-sock-3-pack-sc593063b/?color=offwhite","2026-09-15","Средняя плотность и формат 3-pack дают ориентир для лестницы Light/Medium в одной линейке.","Наличие отдельно не проверялось.","Цена за 3 пары; нельзя сопоставлять с одиночной парой без пересчёта."
"CP-020","Шерстяные/мериносовые носки","Devold","Hiking Merino Medium Sock","DE","EUR",30,"","средний","65% merino wool, 28% polyamide, 5% polypropylene, 2% elastane","официальный сайт бренда","https://www.devold.com/en-de/product/hiking-merino-medium-sock-sc564063b/?color=ink","2026-09-15","Ориентир технической одиночной пары с высокой долей мериноса и усилением синтетическими волокнами.","Наличие зависит от размера и цвета.","Outdoor-конструкция и свойства делают сравнение с lifestyle-носками неполным."
"CP-021","Шерстяные/мериносовые носки","Devold","Ski Touring Merino Sock","DE","EUR",40,"","премиальный","49% merino wool, 45% polyamide, 6% elastane","официальный сайт бренда","https://www.devold.com/en-de/product/ski-touring-merino-sock-sc531065a/?color=woods","2026-09-15","Верхний функциональный ценовой якорь категории: специализированная конструкция и высокая эластичность.","Наличие зависит от размера и цвета.","Нишевая лыжная модель; цена не переносится напрямую на повседневный ассортимент."
"CP-022","Пледы из яка","Cheval des Vents","Yak Wool Throw","EU","EUR",175,220,"бюджетный","100% Mongolian yak wool","официальный сайт бренда","https://www.chevaldesvents.com/products/yak-wool","2026-09-15","Нижний ценовой ориентир для чистого яка и пример промо-механики около 20%.","На момент проверки отмечен Sold out.","Текущая цена относится к распроданному SKU и может не повториться после рестока."
"CP-023","Пледы из яка","Traces of Me","Throw Knited Felt Teal","PT/EU","EUR",285,"","средний","100% yak wool","официальный сайт бренда","https://tracesofmetm.com/products/throw-knited-felt-teal","2026-09-15","Современный вязаный плед с фактурой felt и бахромой — полезный референс для более модной, интерьерной подачи яка.","На момент проверки указано: осталась 1 единица.","Точные размеры на карточке не раскрыты; дизайн разработан в Португалии, производство указано в Индии."
"CP-024","Пледы из яка","Norbulaedchen","Yak Wool Blanket","DE/EU","EUR",420,"","средний","100% yak wool","официальный сайт ритейлера","https://norbulaedchen.de/en-eu/products/yak-wool-blanket","2026-09-15","Крупный плед 200×150 см с плотной фактурой, клеткой и широкой каймой — сильный референс конструкции в среднем сегменте.","На момент проверки доступно добавление в корзину; указана 1 единица.","Нишевый ритейлер; страна производства и сертификаты на карточке не раскрыты."
"CP-025","Пледы из яка","Lodenwalker","Yak and Virgin Wool Blanket","DE/EU","EUR",356,"","средний","50% virgin wool, 50% yak wool","официальный сайт бренда","https://lodenwalker.com/en/Yak-and-New-Wool-Blanket/SW10107.1","2026-09-15","Сильный референс смесового большого пледа 220×150 см и европейского ремесленного позиционирования.","Наличие отдельно не проверялось.","Только половина состава — як; напрямую сравнивать с 100% yak нужно осторожно."
"CP-026","Пледы из яка","MATKA","100% Yak Wool Blanket","EU/ES","EUR",430,"","средний","100% yak wool","официальный сайт бренда","https://www.matka.es/collection/100-yak-wool-blanket","2026-09-15","Крупный формат 130×260 см показывает доплату за площадь и чистый состав.","Карточка указывает online-exclusive; остаток в публичной выдаче трактуется неоднозначно.","Перед использованием в клиентской презентации нужно повторно подтвердить наличие."
"CP-027","Пледы из яка","Verena von Eschenbach","Yul Yak Blanket","DE/EU","EUR",560,630,"премиальный","100% VvE yak wool","официальный сайт бренда","https://verena-von-eschenbach.com/en/products/yak-decke-yul","2026-09-15","Премиальный европейский ориентир большого пледа 150×220 см и умеренной скидки от RRP.","Наличие отдельно не проверялось.","Фирменное обозначение VvE yak wool является термином бренда."
"CP-028","Пледы из яка","Perlo","Khullu Pure Yak Wool Throw","EU","EUR",655,936,"премиальный","100% yak wool","официальный сайт бренда","https://perlo.co/products/plaid-en-pure-laine-de-yak-khullu","2026-09-15","Верхний ценовой якорь для чистого яка и пример люксовой промо-цены со скидкой около 30%.","Наличие отдельно не проверялось.","Люксовая исходная цена и промо делают сравнение с массовым рынком ограниченным."
"CP-029","Прочие шерстяные пледы","IKEA","ULLTISTEL Throw, Grey/White","DE","EUR",39.99,"","бюджетный","100% wool","официальный сайт бренда","https://www.ikea.com/de/de/p/ulltistel-plaid-grau-weiss-50506974/","2026-09-15","Жёсткий нижний ценовой якорь для 100% шерсти в массовом домашнем текстиле.","Зависит от индекса и магазина доставки.","Масштаб IKEA и ассортиментная экономика трудно воспроизводимы небольшим брендом."
"CP-030","Прочие шерстяные пледы","IKEA","STOCKHOLM 2025 Throw, Bright Blue","DE","EUR",69.99,"","бюджетный","100% wool, including 50% merino wool; RWS-certified","официальный сайт бренда","https://www.ikea.com/de/de/p/stockholm-2025-plaid-leuchtend-blau-20592195/","2026-09-15","Редкий массовый ориентир пледа с 50% мериноса и заметным цветовым акцентом ниже €70.","Зависит от индекса и магазина доставки.","Доля второй половины шерстяного состава не детализирована по породе."
"CP-031","Прочие шерстяные пледы","Lapuan Kankurit","AURORA Wool Blanket, Grey/White","FI","EUR",99.9,"","бюджетный","100% pure new wool","официальный сайт бренда","https://lapuankankurit.fi/shop/home-you/wool-blankets-cushion-covers/aurora-wool-blanket-grey-white-100-x-150-cm/","2026-09-15","Финский дизайн и производство дают понятный европейский ориентир около €100 для малого пледа 100×150 см.","Наличие отдельно не проверялось.","Меньший формат снижает сопоставимость с пледами 130×180 см и крупнее."
"CP-032","Прочие шерстяные пледы","Silkeborg Uldspinderi","Stockholm Throw, Mustard, 140×240 cm","DK/EU","EUR",140,200,"средний","Scandinavian wool and New Zealand wool; percentages not stated","официальный сайт бренда","https://silkeborg-uld.com/products/stockholm-140x240-cm-throw-mustard","2026-09-15","Большой датский плед и наглядная промо-цена 30% ниже RRP; полезен для сравнения размера и цвета.","Наличие отдельно не проверялось.","Бренд указывает происхождение двух типов шерсти, но не их доли."
"CP-033","Прочие шерстяные пледы","Lapuan Kankurit","PUNOS Wool Blanket, White/Cinnamon/Black","FI","EUR",159,"","средний","100% pure new wool","официальный сайт бренда","https://lapuankankurit.fi/shop/wool-blankets-cushion-covers/punos-wool-blanket-white-cinnamon-black-130-x-180-cm-fringes/","2026-09-15","Графичный узор, бахрома и стандартный диванный размер дают хороший визуальный и ценовой референс среднего сегмента.","Наличие отдельно не проверялось.","Цена относится к конкретному рисунку и цветовой комбинации."
"CP-034","Прочие шерстяные пледы","Lapuan Kankurit","OLO Merino Wool Blanket, Black","FI","EUR",179,"","средний","100% merino wool","официальный сайт бренда","https://lapuankankurit.fi/shop/home-you/olo-wool-blanket-black-135-x-180-cm-fringes/","2026-09-15","Чистый меринос и спокойный однотонный дизайн показывают премию к обычной pure new wool в рамках одного бренда.","Наличие отдельно не проверялось.","Сопоставление корректно только при учёте размера 135×180 см."
"CP-035","Прочие шерстяные пледы","Silkeborg Uldspinderi","Franja Throw, Green/Orange, 170×140 cm","DK/EU","EUR",225,300,"премиальный","50% alpaca FS, 50% fine merino wool","официальный сайт бренда","https://silkeborg-uld.com/products/franja-throw-170x140-cm-throw-green-orange","2026-09-15","Премиальный смесовый референс с альпакой и мериносом, активной палитрой и видимой скидкой 25%.","Наличие отдельно не проверялось.","Не чистошерстяной продукт; альпака влияет на мягкость и цену."
"CP-036","Шали/палантины","& Other Stories","Triangle Wool Scarf, Grey Melange","DE","EUR",69,"","бюджетный","100% RWS wool","официальная retail-страница H&M Group","https://www2.hm.com/de_de/productpage.1297883001.html","2026-09-15","Доступный треугольный формат с подтверждёнными отзывами; полезен как референс носки на плечах и как косынка.","На странице доступна кнопка добавления в корзину; остаток по варианту отдельно не подтверждён.","Маркетинговое название scarf, но форма и способ носки соответствуют шали."
"CP-037","Шали/палантины","& Other Stories","Wool Blanket Scarf with Fringes","DE","EUR",69,"","бюджетный","100% RWS wool","официальная retail-страница H&M Group","https://www2.hm.com/de_de/productpage.1095302018.html","2026-09-15","Бюджетный широкий формат 200×60 см с бахромой; хороший ориентир для объёмного палантина.","Наличие отдельно не проверялось.","Позиционируется как blanket scarf, поэтому граница между шарфом и палантином условна."
"CP-038","Шали/палантины","COS","Brushed-Cashmere Triangle Scarf, Brown Mélange","EU","EUR",129,"","средний","100% GCS cashmere","официальный сайт бренда","https://www.cos.com/en-eu-e/women/accessories/hatsscarvesgloves/scarves/cashmere/product/brushed-cashmere-triangle-scarf-brown-mlange-1291719006","2026-09-15","Актуальный вирусный треугольный формат: компактнее классической шали, но допускает носку на плечах и голове.","Наличие отдельно не проверялось.","Основная EU-карточка плохо отдаёт данные в текстовом виде; состав подтверждён официальной H&M Group карточкой того же артикула."
"CP-039","Шали/палантины","GOBI Cashmere","Cashmere Cape Scarf, Burgundy","DE/EU","EUR",159,"","средний","100% cashmere","официальный сайт бренда","https://www.gobicashmere.com/products/cashmere-knit-convertibe-scarf-burgundy","2026-09-15","Трансформируемый формат cape/scarf показывает продуктовую ценность через несколько сценариев носки.","Наличие отдельно не проверялось.","Конструкция ближе к накидке, поэтому сравнение с плоским палантином неполное."
"CP-040","Шали/палантины","Johnstons of Elgin","Black Cashmere Stole","DE","EUR",765,"","премиальный","100% cashmere","официальный сайт бренда","https://johnstonsofelgin.com/de-de/products/black-cashmere-stole?variant=47507695501590","2026-09-15","Верхний люксовый ориентир: классическая лёгкая стола с бахромой, произведённая в Шотландии исторической кашемировой мануфактурой.","На момент проверки отмечен Sold out.","Карточка распродана; размеры в проверенном состоянии страницы не повторены. Код продукта: WA000056."
"CP-041","Шали/палантины","GOBI Cashmere","Oversized Cashmere Woven Scarf, Black","DE/EU","EUR",219,"","премиальный","100% premium Mongolian cashmere","официальный сайт бренда","https://gobicashmere.com/products/oversized-woven-scarf-black?variant=43770218971402","2026-09-15","Oversized woven формат полезен как мост между большим шарфом и палантином и как ориентир доплаты за площадь.","Наличие отдельно не проверялось.","В компактной выдаче процент состава не повторяется; 100% cashmere следует из официальной карточки и коллекции бренда."
"CP-042","Шали/палантины","MATKA","100% Yak Wool Shawl","EU/ES","EUR",240,"","премиальный","100% yak wool","официальный сайт бренда","https://www.matka.es/collection/100-yak-wool-shawl-1","2026-09-15","Редкий прямой референс шали из чистого яка; важен для сравнительного сторителлинга cashmere versus yak.","Наличие отдельно не проверялось.","Небольшой нишевый бренд; трафик и масштаб продаж неизвестны."
"CP-043","Перчатки","ROECKL","Essentials Gloves, Anthracite","DE","EUR",49.9,"","бюджетный","33% viscose, 23% nylon, 20% cotton, 20% wool, 4% cashmere","официальный сайт бренда","https://roeckl.com/de/essentials-handschuhe-anthracite","2026-09-15","Нижняя граница специализированного перчаточного бренда; показывает, что небольшая доля кашемира уже используется в коммуникации.","На странице указан ожидаемый срок доставки 3–5 дней.","Шерсть и кашемир вместе составляют только 24%; это скорее смесовый ценовой референс."
"CP-044","Перчатки","ROECKL","Pure Merino Gloves, Flannel","DE","EUR",59.9,"","бюджетный","100% merino wool; fleece/Thinsulate lining mentioned separately","официальный сайт бренда","https://roeckl.com/de/pure-merino-handschuh-flanell","2026-09-15","Чистый меринос с функциональной подкладкой показывает предел бюджетного сегмента специализированных перчаток.","Доступность зависит от размера; страница также предлагает уведомление о рестоке.","Состав подкладки не раскрыт количественно на карточке."
"CP-045","Перчатки","COS","Ribbed Cashmere Gloves, Grey","DE","EUR",69,"","средний","58% recycled cashmere, 39% GCS cashmere, 2% polyester, 1% polyamide","официальный сайт бренда","https://www.cos.com/en-de/men/accessories/hatsscarvesgloves/gloves/product/ribbed-cashmere-gloves-grey-1252049001","2026-09-15","Почти полностью кашемировый продукт с recycled/GCS аргументацией и подарочной упаковкой около €70.","На карточке видна кнопка Add to bag; остаток по размеру отдельно не подтверждён.","Это не 100% кашемир; 3% состава — синтетические волокна."
"CP-046","Перчатки","COS","Gathered Leather-Cashmere Gloves, Black","DE","EUR",69,"","средний","shell 100% leather; lining 100% cashmere","официальный сайт бренда","https://www.cos.com/en-de/women/accessories/hatsscarvesgloves/cashmere/product/gathered-leather-cashmere-gloves-black-0779729003","2026-09-15","Гибрид кожи и кашемира показывает альтернативную ценностную конструкцию по той же цене, что и трикотажный кашемир.","На карточке видна кнопка Add to bag; остаток по размеру отдельно не подтверждён.","Основной внешний материал — кожа, поэтому это не прямой аналог вязаных перчаток."
"CP-047","Перчатки","ROECKL","Pure Cashmere Gloves, Flannel","DE","EUR",79.9,"","средний","100% cashmere","официальный сайт бренда","https://roeckl.com/de/pure-cashmere-handschuhe-flanell","2026-09-15","Чистый кашемир от специализированного бренда задаёт важный ориентир около €80 без декоративных деталей.","На странице указан ожидаемый срок доставки 3–5 дней.","Цена указана как «от €79,90»; другие варианты могут стоить дороже."
"CP-048","Перчатки","Falconeri","Ultrasoft Cashmere Cable-Knit Gloves with Rhinestones","DE","EUR",118,"","средний","100% cashmere","официальный сайт бренда","https://www.falconeri.com/de/product/handschuhe_aus_kaschmir_ultrasoft_mit_zopfmuster_und_strass-DZ00400.html","2026-09-15","Показывает наценку за декоративную ценность: коса, стразы и подарочный характер поверх чистого кашемира.","На странице виден выбор цвета и размера; остаток отдельно не подтверждён.","Декор ограничивает прямое сравнение с базовыми моделями."
"CP-049","Перчатки","Falconeri","Ultrasoft Cashmere and Bouclé Mittens","DE","EUR",218,"","премиальный","100% cashmere","официальный сайт бренда","https://www.falconeri.com/de/product/faustlinge_aus_kaschmir_ultrasoft_und_boucle-DZ00170.html?dwvar_DZ00170_Z_COL_FALC=8005","2026-09-15","Верхний премиальный ориентир: двухфактурные варежки с металлическими кольцами и съёмным шнуром.","На странице видна кнопка добавления в корзину; остаток по варианту отдельно не подтверждён.","Формат варежек и сложные детали повышают цену относительно стандартных перчаток."
